,,Monthly Nominal GDP Index,Monthly Real GDP Index
1999 - Oct,10/1/1999,9822.708,13724.814
1999 - Nov,11/1/1999,9888.459,13808.812
1999 - Dec,12/1/1999,9989.340,13950.740
2000 - Jan,1/1/2000,9924.952,13813.373
2000 - Feb,2/1/2000,9994.170,13869.865
2000 - Mar,3/1/2000,10087.415,13951.732
2000 - Apr,4/1/2000,10225.668,14134.375
2000 - May,5/1/2000,10233.222,14115.186
2000 - Jun,6/1/2000,10284.270,14143.577
2000 - Jul,7/1/2000,10235.600,14058.669
2000 - Aug,8/1/2000,10336.193,14171.626
2000 - Sep,9/1/2000,10382.701,14205.970
2000 - Oct,10/1/2000,10435.279,14247.350
2000 - Nov,11/1/2000,10445.747,14232.975
2000 - Dec,12/1/2000,10426.206,14209.984
2001 - Jan,1/1/2001,10468.686,14215.832
2001 - Feb,2/1/2001,10462.966,14185.220
2001 - Mar,3/1/2001,10479.041,14149.810
2001 - Apr,4/1/2001,10566.008,14260.761
2001 - May,5/1/2001,10639.103,14326.811
2001 - Jun,6/1/2001,10591.890,14229.142
2001 - Jul,7/1/2001,10585.366,14183.706
2001 - Aug,8/1/2001,10698.976,14346.918
2001 - Sep,9/1/2001,10509.718,14114.454
2001 - Oct,10/1/2001,10640.842,14236.554
2001 - Nov,11/1/2001,10588.647,14160.699
2001 - Dec,12/1/2001,10751.906,14365.297
2002 - Jan,1/1/2002,10785.813,14407.250
2002 - Feb,2/1/2002,10749.036,14322.919
2002 - Mar,3/1/2002,10815.651,14390.081
2002 - Apr,4/1/2002,10857.762,14443.948
2002 - May,5/1/2002,10870.085,14442.550
2002 - Jun,6/1/2002,10934.532,14497.915
2002 - Jul,7/1/2002,11001.566,14574.940
2002 - Aug,8/1/2002,10952.717,14491.971
2002 - Sep,9/1/2002,10997.837,14493.612
2002 - Oct,10/1/2002,10998.602,14480.447
2002 - Nov,11/1/2002,11052.380,14522.568
2002 - Dec,12/1/2002,11133.317,14611.111
2003 - Jan,1/1/2003,11135.230,14595.152
2003 - Feb,2/1/2003,11210.929,14653.212
2003 - Mar,3/1/2003,11176.228,14595.660
2003 - Apr,4/1/2003,11258.389,14675.338
2003 - May,5/1/2003,11275.179,14690.131
2003 - Jun,6/1/2003,11404.730,14867.205
2003 - Jul,7/1/2003,11469.357,14911.267
2003 - Aug,8/1/2003,11565.760,14983.022
2003 - Sep,9/1/2003,11664.890,15074.105
2003 - Oct,10/1/2003,11700.085,15093.530
2003 - Nov,11/1/2003,11785.651,15181.389
2003 - Dec,12/1/2003,11830.966,15215.356
2004 - Jan,1/1/2004,11805.757,15134.080
2004 - Feb,2/1/2004,11927.302,15259.459
2004 - Mar,3/1/2004,12037.282,15354.505
2004 - Apr,4/1/2004,12036.016,15311.161
2004 - May,5/1/2004,12175.000,15445.514
2004 - Jun,6/1/2004,12127.429,15345.966
2004 - Jul,7/1/2004,12279.888,15483.861
2004 - Aug,8/1/2004,12301.589,15522.005
2004 - Sep,9/1/2004,12334.444,15534.117
2004 - Oct,10/1/2004,12471.115,15653.015
2004 - Nov,11/1/2004,12514.981,15649.698
2004 - Dec,12/1/2004,12595.545,15712.051
2005 - Jan,1/1/2005,12747.842,15854.630
2005 - Feb,2/1/2005,12752.067,15827.319
2005 - Mar,3/1/2005,12801.949,15854.392
